TimeSlice	Time	LH_GemellusSuperior	LH_GemellusSuperior
738	0.39852	0.0130954	86.4533
739	0.39906	0.0130953	86.4536
740	0.3996	0.0130953	86.4539
741	0.40014	0.0130953	86.4542
742	0.40068	0.0130953	86.4545
743	0.40122	0.0130952	86.4548
744	0.40176	0.0130952	86.4551
745	0.4023	0.0130952	86.4554
746	0.40284	0.0130952	86.4557
747	0.40338	0.0130952	86.456
748	0.40392	0.0130951	86.4563
749	0.40446	0.0130951	86.4567
750	0.405	0.0130951	86.457
751	0.40554	0.0130951	86.4573
752	0.40608	0.013095	86.4576
753	0.40662	0.013095	86.4579
754	0.40716	0.013095	86.4582
755	0.4077	0.013095	86.4585
756	0.40824	0.0130949	86.4588
757	0.40878	0.0130949	86.4591
758	0.40932	0.0130949	86.4594
759	0.40986	0.0130949	86.4597
760	0.4104	0.0130949	86.46
761	0.41094	0.0130948	86.4603
762	0.41148	0.0130948	86.4606
763	0.41202	0.0130948	86.461
764	0.41256	0.0130948	86.4613
765	0.4131	0.0130947	86.4616
766	0.41364	0.0130947	86.4619
767	0.41418	0.0130947	86.4622
768	0.41472	0.0130947	86.4625
769	0.41526	0.0130946	86.4628
770	0.4158	0.0130946	86.4631
771	0.41634	0.0130946	86.4635
772	0.41688	0.0130946	86.4638
773	0.41742	0.0130946	86.4641
774	0.41796	0.0130945	86.4644
775	0.4185	0.0130945	86.4647
