TimeSlice	Time	bicepsfemorisposterior	gracilisanterior	gracilisposterior	illiopsoas	rectusfemoris	semimembranosus	semitendinosus	tibialisanterior	vastusintermedius	vastuslateralis	vastusmedialis
148	0.07992	0	0	0	0.017958	0.442786	0	0.0390464	0.0306525	0.178095	0.0156281	0.0890986
149	0.08046	0	0	0	0.0179818	0.443763	6.35742e-005	0.0383191	0.0171006	0.175349	0.0186432	0.0859899
150	0.081	0	0	0	0.0180042	0.443087	0.0011733	0.0379662	0.0196733	0.161903	0.0198914	0.0774687
151	0.08154	0	0	0	0.0180251	0.44087	0.00226555	0.0379891	0.0376672	0.139208	0.0194238	0.0641499
152	0.08208	0	0	2.98904e-005	0.0180447	0.437203	0.00318881	0.0383882	0.0698316	0.108988	0.0173717	0.0474051
153	0.08262	7.2308e-005	0.0044522	0.000498561	0.0180631	0.432394	0.00391114	0.0391162	0.113258	0.0735729	0.0139835	0.0287668
154	0.08316	0.000424419	0.00926048	0.000922632	0.0180809	0.426753	0.00436016	0.0401173	0.163988	0.0356794	0.00958938	0.00957979
155	0.0837	0.000830095	0.013318	0.00127529	0.0180982	0.420737	0.00458852	0.0412963	0.217584	0	0.00462014	0
156	0.08424	0.00125751	0.0164022	0.00153084	0.0181152	0.414676	0.00450817	0.0425746	0.270136	0	0	0
157	0.08478	0.00167094	0.0182896	0.00167559	0.0181317	0.409011	0.00420608	0.0438428	0.317906	0	0	0
158	0.08532	0.00203976	0.0189069	0.00170104	0.018148	0.404041	0.00363438	0.0450216	0.357641	0	0	0
159	0.08586	0.00233523	0.0182276	0.00160813	0.0181642	0.400115	0.00288736	0.0460168	0.386861	0	0	0
160	0.0864	0.00253504	0.0163286	0.00140151	0.0181804	0.397414	0.00196025	0.0467683	0.403666	0	0	0
161	0.08694	0.00262093	0.0133115	0.00109455	0.0181969	0.396156	0.000951328	0.0472068	0.407125	0	0	0
162	0.08748	0.00258292	0.0093734	0.000713658	0.0182134	0.396369	0	0.0473037	0.396921	0	0	0
163	0.08802	0.00242423	0.00486	0.000287594	0.0182301	0.397999	0	0.0470482	0.374301	0	0	0
164	0.08856	0.00215511	0.000102287	0	0.0182466	0.400832	0	0.0464686	0.340815	0	0	0.00114366
165	0.0891	0.00179262	0	0	0.018263	0.404679	0	0.045595	0.298591	0.0186219	0	0.0211624
166	0.08964	0.00136064	0	0	0.0182789	0.40917	0	0.044496	0.25029	0.0559779	0.00355219	0.041651
167	0.09018	0.000890181	0	0	0.0182944	0.413982	0	0.043245	0.19899	0.09205	0.00976809	0.0611096
168	0.09072	0.000416988	0	0	0.0183095	0.418652	0	0.0419499	0.148302	0.123864	0.0158734	0.0777824
169	0.09126	0	0	0	0.0183244	0.422744	0	0.0407201	0.102225	0.148279	0.0213312	0.089557
170	0.0918	0	0	0	0.0183389	0.425765	0	0.0396783	0.0650619	0.162964	0.0256845	0.0951403
171	0.09234	0	0	0	0.0183528	0.42738	0.000201046	0.038922	0.0405102	0.166291	0.0285197	0.0939867
172	0.09288	0	0	0	0.0183656	0.427321	0.00134308	0.0385337	0.0313175	0.157862	0.0296136	0.0867103
173	0.09342	0	0	0	0.0183775	0.425607	0.00248443	0.0385349	0.0377968	0.1387	0.0289248	0.0739492
174	0.09396	0	0	8.06654e-005	0.0183884	0.422295	0.00353859	0.0389356	0.0592319	0.110571	0.0265368	0.056766
175	0.0945	0	0.00488824	0.000580552	0.0183984	0.417632	0.00443017	0.0397043	0.0936529	0.0755671	0.0226459	0.0365462
176	0.09504	0.000154697	0.0101929	0.00105458	0.0184078	0.411873	0.00503999	0.0408012	0.138042	0.0362485	0.0175513	0.014944
177	0.09558	0.000624792	0.0149204	0.00146929	0.0184167	0.405467	0.00542516	0.042134	0.188099	0	0.0116616	0
178	0.09612	0.00113405	0.0187586	0.00179682	0.0184254	0.398783	0.00551948	0.0436221	0.239722	0	0.00539775	0
179	0.09666	0.00164685	0.0214655	0.00202133	0.0184335	0.392274	0.00539327	0.0451571	0.289242	0	0	0
180	0.0972	0.00213227	0.0229531	0.00213073	0.0184414	0.386232	0.00498747	0.0466609	0.333398	0	0	0
181	0.09774	0.00256023	0.0231555	0.00212203	0.0184492	0.381033	0.00438334	0.0480357	0.369489	0	0	0
182	0.09828	0.00290564	0.022106	0.00199466	0.0184569	0.376889	0.00357346	0.0492151	0.395319	0	0	0
183	0.09882	0.0031458	0.0198552	0.00175707	0.0184645	0.374071	0.00263775	0.0501179	0.409596	0	0	0
184	0.09936	0.00326573	0.0165458	0.00142243	0.0184721	0.372667	0.00160804	0.0507023	0.411492	0	0	0
185	0.0999	0.00325622	0.0123618	0.00101592	0.0184797	0.37278	0.000616733	0.0509221	0.401069	0	0	0
