TimeSlice	Time	LH_AnkleZ	LH_Knee	LH_HipZ
9234	4.98636	-0.167545	0.126795	-0.0119714
9253	4.99662	-0.167725	0.126801	-0.0119652
9272	5.00688	-0.167912	0.126809	-0.0119634
9291	5.01714	-0.168203	0.126812	-0.0119589
9310	5.0274	-0.168403	0.126818	-0.0119519
9329	5.03766	-0.168574	0.126826	-0.0119498
9348	5.04792	-0.168836	0.126828	-0.0119446
9367	5.05818	-0.169073	0.126837	-0.0119371
9386	5.06844	-0.169239	0.126842	-0.0119372
9405	5.0787	-0.169466	0.126845	-0.0119323
9424	5.08896	-0.169736	0.126853	-0.0119237
9443	5.09922	-0.1699	0.126858	-0.0119236
9462	5.10948	-0.170094	0.126865	-0.0119166
9481	5.11974	-0.170378	0.126869	-0.0119123
9500	5.13	-0.170568	0.126874	-0.0119063
9519	5.14026	-0.170735	0.126882	-0.0119041
9538	5.15052	-0.171	0.126885	-0.0119006
9557	5.16078	-0.171214	0.12689	-0.0118935
9576	5.17104	-0.171374	0.126898	-0.0118912
9595	5.1813	-0.171611	0.126902	-0.0118886
9614	5.19156	-0.171856	0.126905	-0.0118809
9633	5.20182	-0.172012	0.126914	-0.0118781
9652	5.21208	-0.172219	0.126918	-0.0118765
9671	5.22234	-0.172486	0.126921	-0.0118686
9690	5.2326	-0.172645	0.12693	-0.011865
9709	5.24286	-0.172819	0.126934	-0.0118637
9728	5.25312	-0.173086	0.12694	-0.0118548
9747	5.26338	-0.173278	0.126945	-0.0118533
9766	5.27364	-0.173439	0.126951	-0.0118476
9785	5.2839	-0.17368	0.126956	-0.0118441
9804	5.29416	-0.1739	0.12696	-0.011841
9823	5.30442	-0.174056	0.126966	-0.0118354
9842	5.31468	-0.174268	0.126972	-0.0118325
9861	5.32494	-0.174513	0.126975	-0.0118287
9880	5.3352	-0.174669	0.126981	-0.0118231
9899	5.34546	-0.174853	0.126988	-0.0118209
9918	5.35572	-0.175115	0.12699	-0.0118167
9937	5.36598	-0.175275	0.126996	-0.011811
